Date Time,Congestion,Direction,Observation (%)
10/12/2020 15:15,2,1,100
03/12/2020 15:30,2,1,100
10/12/2020 15:30,2,1,100
03/12/2020 15:45,2,1,100
10/12/2020 15:45,2,1,100
03/12/2020 15:45,2,1,100
10/12/2020 15:45,2,1,100
03/12/2020 16:00,2,1,100
10/12/2020 16:00,2,1,100
03/12/2020 16:15,2,1,100
10/12/2020 16:15,2,1,100
03/12/2020 16:30,2,1,100
10/12/2020 16:30,2,1,100
03/12/2020 16:45,3,1,100
10/12/2020 16:45,3,1,100
03/12/2020 17:00,3,1,100
10/12/2020 17:00,3,1,100
03/12/2020 17:15,3,1,100
10/12/2020 17:15,3,1,100
03/12/2020 17:30,4,1,100
10/12/2020 17:30,4,1,100
03/12/2020 17:45,4,1,100
10/12/2020 17:45,4,1,100
03/12/2020 18:00,3,1,100
10/12/2020 18:00,3,1,100
03/12/2020 18:15,4,1,100
10/12/2020 18:15,4,1,100
03/12/2020 18:30,3,1,100
10/12/2020 18:30,3,1,100
03/12/2020 18:45,3,1,100
10/12/2020 18:45,3,1,100
03/12/2020 19:00,4,1,100
10/12/2020 19:00,4,1,100
03/12/2020 19:15,3,1,100
10/12/2020 19:15,3,1,100
03/12/2020 19:30,4,1,100
10/12/2020 19:30,4,1,100
03/12/2020 19:45,3,1,100
10/12/2020 19:45,3,1,100
03/12/2020 20:00,3,1,100
10/12/2020 20:00,3,1,100
03/12/2020 20:15,4,1,100
10/12/2020 20:15,4,1,100
03/12/2020 20:30,3,1,100
10/12/2020 20:30,3,1,100
03/12/2020 20:45,2,1,100
10/12/2020 20:45,2,1,100
03/12/2020 21:00,2,1,100
10/12/2020 21:00,2,1,100
03/12/2020 21:15,2,1,100
10/12/2020 21:15,2,1,100
03/12/2020 21:30,2,1,100
10/12/2020 21:30,2,1,100
03/12/2020 21:45,2,1,100
10/12/2020 21:45,2,1,100
03/12/2020 22:00,3,1,100
10/12/2020 22:00,3,1,100
03/12/2020 22:15,2,1,100
10/12/2020 22:15,2,1,100
03/12/2020 22:30,2,1,100
10/12/2020 22:30,2,1,100
03/12/2020 22:45,2,1,100
10/12/2020 22:45,2,1,100
03/12/2020 23:00,1,1,100
10/12/2020 23:00,1,1,100
03/12/2020 23:15,1,1,100
10/12/2020 23:15,1,1,100
03/12/2020 23:30,1,1,100
10/12/2020 23:30,1,1,100
03/12/2020 23:45,1,1,100
10/12/2020 23:45,1,1,100
05/12/2020 0:00,1,1,100
12/12/2020 0:00,1,1,100
05/12/2020 0:15,1,1,100
12/12/2020 0:15,1,1,100
05/12/2020 0:30,1,1,100
12/12/2020 0:30,1,1,100
05/12/2020 0:45,1,1,100
12/12/2020 0:45,1,1,100
05/12/2020 1:00,1,1,100
12/12/2020 1:00,1,1,100
05/12/2020 1:15,1,1,100
12/12/2020 1:15,1,1,100
05/12/2020 1:30,1,1,100
12/12/2020 1:30,1,1,100
05/12/2020 1:45,1,1,100
12/12/2020 1:45,1,1,100
05/12/2020 2:00,1,1,100
12/12/2020 2:00,1,1,100
05/12/2020 2:15,1,1,100
12/12/2020 2:15,1,1,100
05/12/2020 2:30,1,1,100
12/12/2020 2:30,1,1,100
05/12/2020 2:45,1,1,100
12/12/2020 2:45,1,1,100
05/12/2020 3:00,1,1,100
12/12/2020 3:00,1,1,100
05/12/2020 3:15,1,1,100
12/12/2020 3:15,1,1,100
05/12/2020 3:30,1,1,100
12/12/2020 3:30,1,1,100
